order_id,customer_id,product_id,quantity,revenue,order_status
ORD-0088,C024,P03,2,6082.25,COMPLETED
ORD-0089,C024,P01,3,32489.72,COMPLETED
ORD-0090,C024,P02,3,22903.95,COMPLETED
ORD-0091,C025,P02,1,7485.58,COMPLETED
ORD-0092,C025,P04,3,4364.44,COMPLETED
ORD-0093,C026,P02,3,22676.82,COMPLETED
ORD-0094,C026,P01,1,12065.77,COMPLETED
ORD-0095,C027,P04,2,2636.34,COMPLETED
ORD-0096,C027,P03,3,9407.28,COMPLETED
ORD-0097,C027,P04,1,1478.3,COMPLETED
ORD-0098,C028,P05,1,475.63,COMPLETED
ORD-0099,C028,P05,3,1449.33,COMPLETED
ORD-0100,C029,P05,3,1489.62,COMPLETED
ORD-0101,C029,P02,1,7447.8,COMPLETED
ORD-0102,C029,P01,2,24852.3,COMPLETED
ORD-0103,C030,P02,2,15473.23,COMPLETED
ORD-0104,C030,P04,2,2947.72,COMPLETED
